age_sex_group,sex,age_range,grade_group_nslp,energy_kcal,protein_g,total_fat_g,carbohydrates_g,dietary_fiber_g,sugars_g,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,cholesterol_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,vitamin_a_ug_rae,vitamin_d_ug,vitamin_e_mg_ate,vitamin_k_ug,vitamin_c_mg,thiamin_b1_mg,riboflavin_b2_mg,niacin_b3_mg,vitamin_b6_mg,folate_ug_dfe,vitamin_b12_ug,selenium_ug
children_4_8_MF,MF,4-8,K-5,550.0,5.7,14.01,39.0,7.5,,,,,,300.0,3.0,39.0,150.0,690.0,,1.5,120.0,4.5,2.1,16.5,7.5,0.18,0.18,2.4,0.18,60.0,0.36,9.0
males_9_13,M,9-13,6-8,600.0,10.2,18.0,39.0,9.3,,,,,,390.0,2.4,72.0,375.0,750.0,,2.4,180.0,4.5,3.3,18.0,13.5,0.27,0.27,3.6,0.3,90.0,0.54,12.0
females_9_13,F,9-13,6-8,600.0,10.2,15.99,39.0,7.8,,,,,,390.0,2.4,72.0,375.0,690.0,,2.4,180.0,4.5,3.3,18.0,13.5,0.27,0.27,3.6,0.3,90.0,0.54,12.0
males_14_18,M,14-18,9-12,750.0,15.6,26.01,39.0,11.4,,,,,,390.0,3.3,123.0,375.0,900.0,,3.3,270.0,4.5,4.5,22.5,22.5,0.36,0.39,4.8,0.39,120.0,0.72,16.5
females_14_18,F,14-18,9-12,750.0,13.8,20.01,39.0,7.8,,,,,,390.0,4.5,108.0,375.0,690.0,,2.7,210.0,4.5,4.5,22.5,19.5,0.3,0.3,4.2,0.36,120.0,0.72,16.5
