age_sex_group,sex,age_range,grade_group_nslp,energy_kcal,protein_g,total_fat_g,carbohydrates_g,dietary_fiber_g,sugars_g,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,cholesterol_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,vitamin_a_ug_rae,vitamin_d_ug,vitamin_e_mg_ate,vitamin_k_ug,vitamin_c_mg,thiamin_b1_mg,riboflavin_b2_mg,niacin_b3_mg,vitamin_b6_mg,folate_ug_dfe,vitamin_b12_ug,selenium_ug
children_4_8_MF,MF,4-8,K-5,650.0,6.65,23.3333,45.5,8.75,15.0,6.6667,,,,350.0,3.5,45.5,175.0,805.0,1110.0,1.75,140.0,5.25,2.45,19.25,8.75,0.21,0.21,2.8,0.21,70.0,0.42,10.5
males_9_13,M,9-13,6-8,700.0,11.9,25.2778,45.5,10.85,16.25,7.2222,,,,455.0,2.8,84.0,437.5,875.0,1225.0,2.8,210.0,5.25,3.85,21.0,15.75,0.315,0.315,4.2,0.35,105.0,0.63,14.0
females_9_13,F,9-13,6-8,700.0,11.9,25.2778,45.5,9.1,16.25,7.2222,,,,455.0,2.8,84.0,437.5,805.0,1225.0,2.8,210.0,5.25,3.85,21.0,15.75,0.315,0.315,4.2,0.35,105.0,0.63,14.0
males_14_18,M,14-18,9-12,850.0,18.2,31.1111,45.5,13.3,20.0,8.8889,,,,455.0,3.85,143.5,437.5,1050.0,1280.0,3.85,315.0,5.25,5.25,26.25,26.25,0.42,0.455,5.6,0.455,140.0,0.84,19.25
females_14_18,F,14-18,9-12,850.0,16.1,31.1111,45.5,9.1,20.0,8.8889,,,,455.0,5.25,126.0,437.5,805.0,1280.0,3.15,245.0,5.25,5.25,26.25,22.75,0.35,0.35,4.9,0.42,140.0,0.84,19.25
